# 1. Sex
# 2. Age
# 3. Height
# 4. Weight
# 5. Years worked
M,29,199,86,2
M,25,169,73,4
W,37,167,52,5
M,26,170,51,5
M,22,178,58,1
W,24,165,72,1
M,30,175,63,6
W,22,164,87,1
W,35,157,82,3
M,26,171,83,1
W,38,153,51,1
W,32,151,77,6
M,40,197,77,5
M,32,173,80,1
W,39,159,51,3
M,25,174,50,6
M,24,182,57,4
M,32,168,84,2
W,29,165,63,3
M,23,170,83,2
M,23,192,54,1
M,21,194,70,1
W,21,155,59,2
M,33,185,52,2
W,37,158,52,4
W,34,156,72,3
M,33,175,69,6
M,37,184,62,2
M,20,188,90,2
M,26,199,90,5
W,26,167,84,3
W,36,161,57,6
W,35,160,73,1
W,39,162,53,4
M,39,183,57,1
M,35,197,86,6
M,37,170,89,1
W,28,154,70,5
M,34,178,75,2
M,40,195,65,1
W,19,153,73,1
W,19,169,76,1
M,32,198,85,5
M,20,165,52,2
M,37,186,86,3
W,31,152,82,3
M,25,180,65,3
W,31,155,54,1
M,40,195,58,3

